system:index,date,id,instrument_mode,lat,lon,look_angle,orbit_number,orbit_pass,platform,polarization,relative_orbit,resolution,slice_number,timestamp,.geo
S1A_IW_GRDH_1SDV_20151123T225012_20151123T225041_008738_00C71B_BE97,2015-11-23 22:50:12,S1A_IW_GRDH_1SDV_20151123T225012_20151123T225041_008738_00C71B_BE97,IW,21.926334010465272,106.03662014427263,,8738.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1448319012180,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20151203T105756_20151203T105821_008877_00CB0F_5F80,2015-12-03 10:57:56,S1A_IW_GRDH_1SDV_20151203T105756_20151203T105821_008877_00CB0F_5F80,IW,22.480182161842688,107.08853278395321,,8877.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1449140276280,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20151205T225011_20151205T225040_008913_00CC18_2707,2015-12-05 22:50:11,S1A_IW_GRDH_1SDV_20151205T225011_20151205T225040_008913_00CC18_2707,IW,21.92321943088597,106.03548796324817,,8913.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1449355811870,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20151217T225011_20151217T225040_009088_00D0E0_A608,2015-12-17 22:50:11,S1A_IW_GRDH_1SDV_20151217T225011_20151217T225040_009088_00D0E0_A608,IW,21.9233228595182,106.03592039590866,,9088.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1450392611180,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20151227T105755_20151227T105820_009227_00D4DC_8E20,2015-12-27 10:57:55,S1A_IW_GRDH_1SDV_20151227T105755_20151227T105820_009227_00D4DC_8E20,IW,22.4800612835385,107.08837652024266,,9227.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1451213875430,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20151229T225010_20151229T225039_009263_00D5E6_11F6,2015-12-29 22:50:10,S1A_IW_GRDH_1SDV_20151229T225010_20151229T225039_009263_00D5E6_11F6,IW,21.923591907400937,106.03498659184454,,9263.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1451429410900,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160110T225010_20160110T225039_009438_00DAE0_CBFF,2016-01-10 22:50:10,S1A_IW_GRDH_1SDV_20160110T225010_20160110T225039_009438_00DAE0_CBFF,IW,21.92340429930122,106.03499247737636,,9438.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1452466210440,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160120T105754_20160120T105819_009577_00DEE2_DDBC,2016-01-20 10:57:54,S1A_IW_GRDH_1SDV_20160120T105754_20160120T105819_009577_00DEE2_DDBC,IW,22.479963014198677,107.08877259835096,,9577.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1453287474680,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160122T225010_20160122T225039_009613_00DFFD_DA67,2016-01-22 22:50:10,S1A_IW_GRDH_1SDV_20160122T225010_20160122T225039_009613_00DFFD_DA67,IW,21.923414444388182,106.03524320715329,,9613.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1453503010110,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160201T105754_20160201T105822_009752_00E401_1788,2016-02-01 10:57:54,S1A_IW_GRDH_1SDV_20160201T105754_20160201T105822_009752_00E401_1788,IW,22.562789319062233,107.08892281443934,,9752.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1454324274350,"{""type"":""MultiPoint"",""coordinates"":[]}"
